method,rank_position,mean_true_label,n_values
retrieval,1,0.9065108514190318,599
retrieval,2,0.8380634390651085,599
retrieval,3,0.7679465776293823,599
retrieval,4,0.7028380634390651,599
retrieval,5,0.5993322203672788,599
retrieval,6,0.5409015025041736,599
retrieval,7,0.48247078464106846,599
retrieval,8,0.35225375626043404,599
classifier,1,0.9582637729549248,599
classifier,2,0.8497495826377296,599
classifier,3,0.8263772954924875,599
classifier,4,0.7161936560934892,599
classifier,5,0.5926544240400667,599
classifier,6,0.5459098497495827,599
classifier,7,0.41903171953255425,599
classifier,8,0.28213689482470783,599
